City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Nizhniy Kuranakh,RU,1635003722,97,90,58.8353,125.4869,32.72,5.17
Kamaishi,JP,1635003724,3,72,39.2667,141.8833,45.27,5.57
Puerto Ayora,EC,1635003725,94,78,-0.7393,-90.3518,69.76,9.15
Kavieng,PG,1635003726,66,77,-2.5744,150.7967,82.29,15.84
Ribeira Grande,PT,1635003728,20,60,38.5167,-28.7,72.0,10.36
Huarmey,PE,1635003730,84,72,-10.0681,-78.1522,68.76,11.14
Mataura,NZ,1635003731,100,87,-46.1927,168.8643,50.22,0.34
Brae,GB,1635003669,100,89,60.3964,-1.353,49.91,25.34
Tuatapere,NZ,1635003734,100,95,-46.1333,167.6833,51.35,1.1
Saint-François,FR,1635003735,0,58,46.4154,3.9054,54.84,3.44
Jamestown,US,1635003727,90,84,42.097,-79.2353,48.02,1.01
East London,ZA,1635003738,0,55,-33.0153,27.9116,67.14,26.46
Qaanaaq,GL,1635003739,0,59,77.484,-69.3632,-1.32,8.3
Ushuaia,AR,1635003685,40,49,-54.8,-68.3,44.26,14.97
Bethel,US,1635003742,90,66,41.3712,-73.414,57.11,4.61
Saint-Augustin,CA,1635003731,100,86,51.226,-58.6502,41.65,18.03
Yellowknife,CA,1635003477,75,85,62.456,-114.3525,41.41,17.27
Mar del Plata,AR,1635003746,75,69,-38.0023,-57.5575,64.42,3.0
Dunedin,NZ,1635003552,100,82,-45.8742,170.5036,53.8,11.01
Healdsburg,US,1635003511,90,86,38.6105,-122.8692,55.53,0.0
Alice Springs,AU,1635003560,40,31,-23.7,133.8833,74.75,10.36
Barrow,US,1635003751,90,86,71.2906,-156.7887,30.22,14.97
Zhashkiv,UA,1635003752,7,43,49.2454,30.1102,46.45,7.23
Carnarvon,AU,1635003754,0,68,-24.8667,113.6333,69.87,17.27
Siilinjärvi,FI,1635003755,90,80,63.0833,27.6667,32.02,11.5
Kapaa,US,1635003729,40,92,22.0752,-159.319,75.52,16.11
Castro,BR,1635003758,98,41,-24.7911,-50.0119,75.92,9.82
Tuktoyaktuk,CA,1635003759,90,93,69.4541,-133.0374,28.4,16.11
Mahébourg,MU,1635003760,40,78,-20.4081,57.7,75.49,13.8
Port Alfred,ZA,1635003674,39,64,-33.5906,26.891,63.46,33.51
Komagane,JP,1635003763,12,94,35.7296,137.9396,41.34,3.83
Vostok,RU,1635003764,0,88,46.4856,135.8833,29.95,6.17
Ulaanbaatar,MN,1635003766,0,58,47.9077,106.8832,23.13,0.0
Alofi,NU,1635003767,21,77,-19.0595,-169.9187,67.89,6.91
Busselton,AU,1635003769,11,84,-33.65,115.3333,55.09,7.36
Concepción del Oro,MX,1635003770,0,58,24.6333,-101.4167,62.65,4.29
Dingle,PH,1635003772,100,95,10.9995,122.6711,74.75,5.99
Srīvardhan,IN,1635003773,19,79,18.0333,73.0167,77.61,8.41
Bengkulu,ID,1635003774,74,90,-3.8004,102.2655,76.37,3.8
Shimoda,JP,1635003776,87,66,34.6667,138.95,53.1,12.91
Naze,JP,1635003777,85,74,28.3667,129.4833,67.82,18.81
Coyhaique,CL,1635003779,20,50,-45.5752,-72.0662,50.61,9.22
Pevek,RU,1635003780,100,94,69.7008,170.3133,12.51,6.06
Hermanus,ZA,1635003781,68,67,-34.4187,19.2345,62.91,11.23
Punta Arenas,CL,1635003783,40,75,-53.15,-70.9167,42.91,41.43
Atuona,PF,1635003707,20,77,-9.8,-139.0333,77.81,18.12
Ardakān,IR,1635003786,0,18,32.31,54.0175,68.38,5.32
Birao,CF,1635003787,66,53,10.2849,22.7882,85.35,3.76
Vaini,TO,1635003789,75,88,-21.2,-175.2,69.96,9.22
Portland,US,1635003551,90,94,45.5234,-122.6762,53.15,1.01
Beberibe,BR,1635003791,81,57,-4.1797,-38.1306,90.16,12.68
Eureka,US,1635003693,100,89,40.8021,-124.1637,54.57,8.01
Lüderitz,NA,1635003794,35,66,-26.6481,15.1594,64.15,20.04
Narsaq,GL,1635003791,96,80,60.9167,-46.05,37.62,1.68
Provideniya,RU,1635003796,100,78,64.3833,-173.3,23.67,8.88
Bara,NG,1635003798,50,61,10.3744,10.7288,84.06,5.97
Albany,US,1635003725,58,65,42.6001,-73.9662,51.67,5.66
Trelew,AR,1635003801,4,13,-43.249,-65.3051,62.46,17.4
Thompson,CA,1635003520,75,93,55.7435,-97.8558,30.36,2.3
Cabo San Lucas,MX,1635003581,20,78,22.8909,-109.9124,80.06,6.91
Amapá,BR,1635003804,89,39,1.0,-52.0,93.36,4.52
Ilulissat,GL,1635003806,90,86,69.2167,-51.1,19.42,25.32
Coquimbo,CL,1635003807,90,72,-29.9533,-71.3436,58.73,8.05
Pisco,PE,1635003809,8,80,-13.7,-76.2167,66.02,6.67
Kars,TR,1635003810,0,40,40.602,43.095,50.85,8.05
Arraial do Cabo,BR,1635003812,0,73,-22.9661,-42.0278,80.56,18.41
Rapid Valley,US,1635003813,90,97,44.0625,-103.1463,62.06,13.8
Ancud,CL,1635003814,19,59,-41.8697,-73.8203,58.42,9.73
Buarcos,PT,1635003816,100,58,40.166,-8.8768,77.09,8.16
Hilo,US,1635003616,90,96,19.7297,-155.09,72.25,8.05
Nikolskoye,RU,1635003818,100,96,59.7035,30.7861,38.39,9.31
Manggar,ID,1635003820,61,76,-2.8833,108.2667,80.55,1.28
Ambilobe,MG,1635003821,48,78,-13.2,49.05,78.26,1.41
Srednekolymsk,RU,1635003823,64,99,67.45,153.6833,-13.52,3.78
Tombouctou,ML,1635003824,15,15,20.0,-3.0,95.81,1.52
Vilkaviškis,LT,1635003825,52,79,54.6517,23.0322,42.75,11.39
Flinders,AU,1635003827,70,88,-34.5833,150.8552,66.18,5.01
Arica,CL,1635003640,75,63,-18.475,-70.3042,64.63,10.36
Karasjok,NO,1635003829,100,85,69.4719,25.5112,28.51,5.53
Ivaiporã,BR,1635003831,97,47,-24.2478,-51.6847,77.25,4.97
Avarua,CK,1635003832,75,68,-21.2078,-159.775,68.05,6.91
Umm Kaddadah,SD,1635003834,15,15,13.6017,26.6876,93.43,14.61
Port Macquarie,AU,1635003835,21,100,-31.4333,152.9167,65.89,5.75
Hervey Bay,AU,1635003837,30,88,-25.2986,152.8535,77.04,19.57
Rikitea,PF,1635003838,59,82,-23.1203,-134.9692,74.48,20.49
Serpa,PT,1635003753,63,24,37.9458,-7.5975,75.16,1.63
Saskylakh,RU,1635003841,100,95,71.9167,114.0833,6.17,14.7
Bluff,NZ,1635003842,100,85,-46.6,168.3333,52.92,3.71
Nishihara,JP,1635003844,75,57,26.1842,127.7558,72.68,11.5
Vestmannaeyjar,IS,1635003845,75,87,63.4427,-20.2734,47.39,8.05
Taoudenni,ML,1635003847,0,15,22.6783,-3.9836,93.33,3.71
Tasiilaq,GL,1635003848,100,90,65.6145,-37.6368,32.16,5.28
Panama City,PA,1635003850,40,81,8.9936,-79.5197,87.06,3.44
Klaksvík,FO,1635003740,100,96,62.2266,-6.589,50.92,38.39
Tommot,RU,1635003852,77,88,58.9564,126.2925,35.55,4.03
Plettenberg Bay,ZA,1635003854,34,78,-34.0527,23.3716,58.33,15.28
Santa Isabel Rio Negro,BR,1635003855,9,46,-0.4139,-65.0192,93.79,4.79
Padang,ID,1635003743,75,89,-0.9492,100.3543,77.05,4.61
Kambove,CD,1635003858,50,39,-10.8764,26.5969,79.56,3.27
Yokadouma,CM,1635003859,94,95,3.5167,15.05,72.84,0.94
Lavrentiya,RU,1635003861,100,85,65.5833,-171.0,24.84,9.55
Fortuna,US,1635003799,75,91,40.5982,-124.1573,54.32,13.0
Bambous Virieux,MU,1635003863,40,78,-20.3428,57.7575,76.21,13.8
Clarence Town,AU,1635003865,37,98,-32.5833,151.7833,66.56,4.0
New Norfolk,AU,1635003866,100,82,-42.7826,147.0587,52.66,7.0
Bulolo,PG,1635003868,98,90,-7.2,146.65,67.8,1.97
Hobart,AU,1635003620,90,93,-42.8794,147.3294,53.02,4.0
Ponta do Sol,PT,1635003716,20,67,32.6667,-17.1,74.71,5.59
Airai,TL,1635003836,83,88,-8.9266,125.4092,62.17,1.45
Fort-Shevchenko,KZ,1635003873,10,62,44.5086,50.263,57.47,9.66
Qaqortoq,GL,1635003874,76,72,60.7167,-46.0333,37.9,7.99
Westport,US,1635003704,90,58,41.1415,-73.3579,58.89,11.5
Luang Prabang,LA,1635003877,92,90,19.8856,102.1347,69.82,1.41
Camaná,PE,1635003878,52,69,-16.6228,-72.7111,66.54,10.96
Hasaki,JP,1635003786,0,53,35.7333,140.8333,43.2,14.99
Saint-Philippe,RE,1635003881,74,82,-21.3585,55.7679,76.59,11.7
Cape Town,ZA,1635003712,75,51,-33.9258,18.4232,67.26,7.0
Butaritari,KI,1635003695,75,71,3.0707,172.7902,81.21,9.37
Salalah,OM,1635003885,0,78,17.0151,54.0924,78.89,5.75
Nakło nad Notecią,PL,1635003886,18,71,53.1421,17.6018,46.44,8.52
Tiksi,RU,1635003888,98,100,71.6872,128.8694,-2.13,4.03
Sanming,CN,1635003889,100,98,26.2486,117.6186,55.92,3.02
Nanortalik,GL,1635003890,29,73,60.1432,-45.2371,36.84,6.49
Khatanga,RU,1635003811,100,92,71.9667,102.5,13.1,17.18
Pangai,TO,1635003893,100,64,-19.8,-174.35,73.81,16.96
Panshi,CN,1635003894,0,64,42.9422,126.0561,38.28,4.14
Kimberley,ZA,1635003896,0,23,-28.7323,24.7623,71.29,16.11
Chake Chake,TZ,1635003897,74,78,-5.2459,39.7666,75.88,7.9
Hamilton,US,1635003742,40,81,39.1834,-84.5333,57.22,1.99
Comodoro Rivadavia,AR,1635003900,20,18,-45.8667,-67.5,60.66,17.27
Berdigestyakh,RU,1635003785,100,95,62.0989,126.6992,30.58,4.21
Krasnosel'kup,RU,1635003902,100,98,65.7,82.4667,32.58,13.35
Bredasdorp,ZA,1635003905,86,82,-34.5322,20.0403,58.32,8.05
Raudeberg,NO,1635003906,100,72,61.9875,5.1352,45.27,5.01
Clyde River,CA,1635003908,96,83,70.4692,-68.5914,23.47,13.29
Upernavik,GL,1635003673,71,82,72.7868,-56.1549,19.08,4.07
Monrovia,LR,1635003911,55,78,6.3005,-10.7969,81.03,8.75
Zhigansk,RU,1635003912,100,96,66.7697,123.3711,19.13,12.91
Bosobolo,CD,1635003914,13,74,4.1833,19.9,81.46,0.67
Fuente de Oro,CO,1635003915,23,67,3.4594,-73.6128,84.76,8.34
Leshukonskoye,RU,1635003917,16,94,64.8989,45.7622,23.58,4.79
Kuah,MY,1635003918,40,94,6.3265,99.8432,80.58,2.3
Kem',RU,1635003919,100,81,64.9555,34.5793,30.6,10.07
Shalya,RU,1635003921,22,78,57.2471,58.7298,41.85,11.99
George Town,MY,1635003922,40,84,5.4112,100.3354,81.9,8.99
Baley,RU,1635003924,0,85,51.6,116.6333,25.95,4.23
Hokitika,NZ,1635003925,100,84,-42.7167,170.9667,54.63,2.15
Belaya Gora,RU,1635003826,75,97,68.5333,146.4167,-12.68,3.6
Taksimo,RU,1635003777,100,72,56.3444,114.8794,31.15,2.8
Abu Dhabi,AE,1635003887,0,62,24.4667,54.3667,87.91,11.5
Lashio,MM,1635003930,43,99,22.9333,97.75,64.45,1.14
Sisimiut,GL,1635003932,100,93,66.9395,-53.6735,22.68,13.06
Road Town,VG,1635003933,20,62,18.4167,-64.6167,86.2,11.5
Klyuchi,RU,1635003934,98,61,52.2667,79.1667,45.75,19.33
Morgan City,US,1635003936,96,74,29.6994,-91.2068,80.01,7.0
Newport,GB,1635003937,100,70,51.5877,-2.9984,56.44,17.45
Vao,NC,1635003752,93,79,-22.6667,167.4833,71.78,15.64
Badarganj,BD,1635003940,0,79,25.674,89.0549,72.93,1.68
Arrondissement de Provins,FR,1635003941,4,55,48.5833,3.1667,57.72,5.44
Port Blair,IN,1635003943,85,78,11.6667,92.75,80.64,1.23
Sault Ste. Marie,CA,1635003814,90,86,46.5168,-84.3333,46.89,0.0
Alugan,PH,1635003945,99,82,12.2188,125.4808,80.2,6.67
Mayumba,GA,1635003947,79,78,-3.432,10.6554,79.12,6.31
Nkayi,CG,1635003948,92,74,-4.1841,13.2884,82.35,4.0
Pacifica,US,1635003950,75,92,37.6138,-122.4869,57.67,6.91
Silvânia,BR,1635003951,23,26,-16.6589,-48.6081,82.36,5.95
Shagonar,RU,1635003952,97,87,51.5333,92.8,36.66,1.3
Jaisinghnagar,IN,1635003954,0,58,23.7,81.3833,69.49,2.15
Richards Bay,ZA,1635003857,9,76,-28.783,32.0377,75.79,3.2
Chui,UY,1635003957,100,62,-33.6971,-53.4616,64.18,2.95
Nome,US,1635003958,90,69,64.5011,-165.4064,32.07,3.44
Chipinge,ZW,1635003960,58,31,-20.1883,32.6236,83.43,8.57
Labuhan,ID,1635003961,94,78,-6.8844,112.2051,80.71,8.08
Torbay,CA,1635003861,75,94,47.6666,-52.7314,61.57,13.8
Tura,IN,1635003964,0,89,25.5198,90.2201,66.99,3.11
Cidreira,BR,1635003965,69,68,-30.1811,-50.2056,73.74,12.03
Ekhabi,RU,1635003967,28,95,53.5102,142.9671,30.85,7.7
Vanimo,PG,1635003968,68,89,-2.6741,141.3028,77.45,5.88
Marathon,US,1635003970,1,77,44.9,-89.7668,43.36,1.01
Mossamedes,AO,1635003971,0,60,-15.1961,12.1522,74.03,19.57
Collie,AU,1635003973,11,88,-33.3667,116.15,52.99,2.91
Buriti dos Lopes,BR,1635003974,100,40,-3.175,-41.8669,91.15,10.45
Iqaluit,CA,1635003975,75,80,63.7506,-68.5145,29.93,5.01
Ola,RU,1635003977,98,71,59.5833,151.2833,24.98,12.95
San Patricio,US,1635003978,99,65,28.017,-97.5169,82.02,10.42
Goma,CD,1635003979,80,81,-1.6792,29.2228,68.02,2.17
Avera,US,1635003801,0,51,33.194,-82.5271,68.92,6.42
Ixtapa,MX,1635003982,40,83,20.7,-105.2,85.23,3.44
Hauterive,FR,1635003984,1,65,46.0901,3.4459,56.16,4.45
Narón,ES,1635003985,100,69,43.5167,-8.1528,64.04,6.53
Hithadhoo,MV,1635003986,99,74,-0.6,73.0833,82.33,11.79
Barabai,ID,1635003988,95,94,-2.5833,115.3833,75.31,1.23
Fare,PF,1635003989,100,84,-16.7,-151.0167,75.0,4.72
Polis,CY,1635003991,0,79,35.0367,32.4264,71.42,6.26
Mastic,US,1635003992,40,61,40.802,-72.8409,60.08,8.05
Chokurdakh,RU,1635003993,100,95,70.6333,147.9167,-4.52,5.61
Benemérito de las Américas,MX,1635003995,92,68,16.5167,-90.6439,83.7,3.27
Valle de Allende,MX,1635003996,0,41,26.9333,-105.4,71.76,4.21
Pacific Grove,US,1635003998,1,89,36.6177,-121.9166,56.41,0.0
St. George's,GD,1635003999,40,66,12.0564,-61.7485,85.68,23.02
Port Elizabeth,ZA,1635004000,0,55,-33.918,25.5701,66.49,31.07
Port Hardy,CA,1635004002,75,93,50.6996,-127.4199,48.2,5.75
Yangi Marg`ilon,UZ,1635004003,1,42,40.4272,71.7189,47.12,6.91
Sørland,NO,1635004005,74,56,67.667,12.6934,42.1,10.92
Caravelas,BR,1635003734,67,65,-17.7125,-39.2481,80.89,9.22
Leiva,CO,1635004007,61,66,1.9339,-77.3025,74.48,2.13
Baiima,SL,1635004009,47,90,8.1,-11.85,81.23,3.51
Beni Suef,EG,1635004010,0,36,29.0731,31.0979,77.41,9.24
Kahului,US,1635003838,90,87,20.8947,-156.47,74.84,10.36
Santa Fe,AR,1635003759,100,65,-31.6333,-60.7,73.02,8.01
Qusar,AZ,1635004014,0,70,41.4273,48.4289,52.3,4.07
Ostrovnoy,RU,1635004015,100,81,68.0531,39.5131,30.78,16.26
Neiafu,TO,1635004017,75,88,-18.65,-173.9833,70.48,2.3
Volokonovka,RU,1635004018,55,49,50.4827,37.8563,49.57,8.93
Martapura,ID,1635004019,40,89,-3.4167,114.85,80.69,3.44
Bulgan,MN,1635004021,52,46,48.8125,103.5347,34.45,2.1
Petropavlovsk-Kamchatskiy,RU,1635003784,75,100,53.0452,158.6483,27.19,4.47
Saint Paul Harbor,US,1635004024,90,76,57.79,-152.4072,44.11,9.22
Popondetta,PG,1635004025,27,84,-8.7537,148.2534,72.37,3.36
Afrikanda,RU,1635004026,100,81,67.4429,32.7828,28.18,6.44
Kawalu,ID,1635004028,99,96,-7.3817,108.2082,74.17,1.3
Yulara,AU,1635003981,0,32,-25.2406,130.9889,69.64,8.05
Souillac,MU,1635004030,40,78,-20.5167,57.5167,76.35,13.8
Eyl,SO,1635004032,5,74,7.9803,49.8164,79.27,11.83
Florø,NO,1635004033,75,66,61.5996,5.0328,46.36,17.27
Belmonte,BR,1635004035,100,89,-15.8631,-38.8828,79.3,10.56
Dikson,RU,1635003756,100,87,73.5069,80.5464,10.49,12.75
Tateyama,JP,1635004038,68,58,34.9833,139.8667,57.22,12.12
Lagoa,PT,1635004039,7,73,39.05,-27.9833,67.28,13.87
Leningradskiy,RU,1635003989,100,88,69.3833,178.4167,8.69,8.88
Cherskiy,RU,1635004041,100,100,68.75,161.3,-7.17,1.99
Finschhafen,PG,1635004043,66,78,-6.6024,147.8681,78.17,8.95
Aklavik,CA,1635004044,90,86,68.2191,-135.0107,28.4,5.75
Vanderhoof,CA,1635003914,59,88,54.0166,-124.0198,37.24,6.44
Krasnoturansk,RU,1635004047,99,65,54.3186,91.5639,39.99,9.15
Pushkinskiye Gory,RU,1635004048,100,96,57.0209,28.9103,37.22,11.72
Janaúba,BR,1635004050,88,41,-15.8025,-43.3089,89.76,3.24
Safi,MA,1635004051,0,53,32.2994,-9.2372,71.78,21.39
Esperance,AU,1635004053,0,71,-33.8667,121.9,51.64,17.6
Isla Mujeres,MX,1635004054,99,79,21.2311,-86.731,86.16,9.84
Parry Sound,CA,1635004055,100,87,45.3501,-80.033,47.21,2.93
Rawson,AR,1635004057,3,28,-43.3002,-65.1023,57.81,15.37
Honningsvåg,NO,1635004058,99,69,70.9821,25.9704,36.95,17.25
Kaitangata,NZ,1635004012,100,91,-46.2817,169.8464,49.68,3.49
Margate,GB,1635004061,78,66,51.3813,1.3862,55.96,11.79
Ahipara,NZ,1635004062,99,97,-35.1667,173.1667,60.6,1.72
Scalea,IT,1635004064,99,65,39.813,15.7956,72.34,4.03
Lima,PE,1635003852,90,82,-12.0432,-77.0282,61.14,6.91
Saint George,US,1635004004,1,41,37.1041,-113.5841,66.67,0.0
Lebu,CL,1635003961,98,64,-37.6167,-73.65,53.89,5.75
Kuching,MY,1635004069,40,100,1.55,110.3333,75.42,0.0
Tilichiki,RU,1635004070,94,88,60.4667,166.1,5.11,8.16
Muhos,FI,1635004072,100,96,64.808,25.9931,31.78,3.51
Port Shepstone,ZA,1635004073,6,72,-30.7414,30.455,69.49,33.13
San Ramon,US,1635004074,75,91,37.7799,-121.978,56.52,1.01
Ruzhyn,UA,1635004076,8,48,49.7228,29.2046,49.03,8.55
Severo-Kuril'sk,RU,1635004077,38,75,50.6789,156.125,37.38,7.92
Fairbanks,US,1635004041,1,89,64.8378,-147.7164,27.61,0.0
Juegang,CN,1635004080,100,59,32.3174,121.1855,63.91,5.17
Nadym,RU,1635003985,100,98,65.5333,72.5167,32.86,10.49
Moosburg,DE,1635004082,20,65,48.4667,11.9333,52.47,4.61
Cockburn Town,TC,1635004084,39,69,21.4612,-71.1419,83.26,19.89
Gizo Government Station,SB,1635004086,11,78,-8.103,156.8419,81.9,8.84
Xam Nua,LA,1635004087,72,99,20.4197,104.0439,57.24,2.01
Norrtälje,SE,1635004089,55,78,59.758,18.705,38.28,6.33
Guadalupe y Calvo,MX,1635004090,0,42,26.1,-106.9667,61.32,3.83
Den Helder,NL,1635004092,90,84,52.9599,4.7593,54.99,10.0
Luanda,AO,1635004074,20,69,-8.8368,13.2343,82.4,13.8
Port Hedland,AU,1635004085,57,50,-20.3167,118.5667,77.05,6.91
Salinópolis,BR,1635004095,100,66,-0.6136,-47.3561,85.87,9.71
Basco,PH,1635004097,67,81,20.4487,121.9702,79.77,23.87
Pangnirtung,CA,1635004098,90,86,66.1451,-65.7125,30.2,6.91
Jalu,LY,1635004100,2,26,29.0331,21.5482,80.56,7.67
Grindavik,IS,1635004101,90,100,63.8424,-22.4338,48.15,13.8
Husavik,IS,1635004102,100,98,66.0449,-17.3389,37.31,2.1
